Woman ID,Residence,Region,Religion,Ethnicity,Age group,Marital state,Current marital state,Highest education qualification,Frequency of reading newspapper,Frequency of watching televisio,Frequency of listening to radio,Frequency of all media combined,Have you ever given birth,Current pregnancy status,Working status,Welth index,Y1
283,1,1,1,1,3,1,1,3,1,1,1,1,1,2,2,3,2
284,1,1,1,1,5,3,3,3,3,1,1,1,1,2,2,5,2
285,1,1,1,1,6,1,1,3,1,1,1,1,1,2,2,5,2
286,1,1,1,1,6,1,1,6,2,1,1,1,1,2,1,5,2
287,1,1,1,1,7,1,1,6,1,1,3,1,1,2,1,5,2
288,1,1,1,1,6,3,3,5,3,1,1,1,1,2,1,5,2
289,1,1,1,1,3,1,1,6,3,2,2,2,2,2,2,5,2
290,1,1,1,1,7,1,1,3,2,1,1,1,1,2,2,5,1
291,1,1,1,1,5,1,1,4,1,1,1,1,1,2,2,5,2
292,1,1,4,1,3,1,1,4,2,1,1,1,1,2,2,5,8
293,1,1,4,1,6,1,1,5,1,1,2,1,1,2,1,5,2
294,1,1,4,1,4,2,3,3,1,1,1,1,1,2,2,4,2
295,1,1,4,1,6,1,1,4,1,1,1,1,1,2,2,5,2
296,1,1,4,1,4,1,1,6,2,1,3,1,1,2,1,5,2
297,1,1,4,1,7,1,1,3,2,2,1,1,1,2,2,5,2
298,1,1,1,1,3,1,1,5,1,3,1,1,2,1,1,4,2
299,1,1,1,1,7,1,1,5,2,1,2,1,1,2,1,5,2
300,1,1,1,1,4,1,1,4,1,1,2,1,1,2,2,3,2
301,1,1,1,1,7,1,1,1,3,1,1,1,2,2,2,3,1
302,1,1,1,1,4,1,1,5,1,1,3,1,2,2,1,5,8
303,1,1,1,1,5,1,1,3,3,1,1,1,1,2,2,2,2
304,1,1,1,1,3,1,1,5,1,2,3,1,2,1,1,4,2
305,1,1,1,1,3,1,1,5,1,1,1,1,1,2,2,5,2
306,1,1,1,1,7,1,1,5,1,1,2,1,1,2,2,5,2
307,1,1,1,1,6,1,1,5,1,1,1,1,1,2,1,5,2
308,1,1,1,1,7,3,3,3,2,1,1,1,1,2,2,3,2
309,1,1,1,1,3,1,2,5,2,1,1,1,1,2,2,3,1
310,1,1,1,1,5,1,1,3,2,1,2,1,1,2,2,5,2
311,1,1,1,1,4,1,1,5,2,1,2,1,1,2,2,4,2
312,1,1,1,1,3,1,1,5,2,1,1,1,1,2,1,5,2
313,1,1,1,1,7,1,1,4,1,1,1,1,1,2,2,5,2
314,1,1,1,1,2,1,1,4,3,3,3,3,2,2,1,3,2
315,1,1,1,1,3,1,1,4,1,1,3,1,1,2,2,5,2
316,1,1,1,1,6,1,1,5,1,1,1,1,1,2,2,5,2
317,1,1,1,1,7,1,1,4,2,1,1,1,1,2,1,5,2
318,1,1,1,1,2,1,1,4,2,3,3,2,2,2,1,4,2
319,1,1,1,1,2,1,1,3,2,3,3,2,2,2,1,3,2
320,1,1,1,1,5,1,1,3,1,2,3,1,1,2,2,5,1
321,1,1,1,1,3,1,1,5,2,1,3,1,2,2,1,4,1
322,1,1,1,1,5,1,1,5,1,3,1,1,1,2,2,5,2
323,1,1,1,1,6,1,1,5,1,1,3,1,1,2,1,4,2
324,1,1,1,1,5,1,1,5,1,1,1,1,1,2,2,5,2
325,1,1,1,1,7,1,1,4,1,3,1,1,1,2,1,5,2
326,1,1,1,1,6,1,1,5,1,1,2,1,1,2,2,5,2
327,1,1,1,1,7,1,1,3,2,1,1,1,1,2,2,5,1
328,1,1,1,1,6,1,1,3,2,1,2,1,1,2,1,5,2
329,1,1,1,1,7,1,1,3,2,1,2,1,1,2,2,5,8
330,1,1,1,1,7,3,3,3,3,2,3,2,1,2,1,5,8
331,1,1,1,1,4,1,1,3,1,1,3,1,1,2,2,5,8
332,1,1,1,1,3,1,1,5,2,1,1,1,1,2,2,5,2
333,1,1,1,1,7,1,1,5,1,1,1,1,2,2,1,4,2
334,1,1,1,1,6,1,1,3,1,1,1,1,1,2,1,4,1
335,1,1,1,1,2,1,1,4,1,1,1,1,2,2,1,4,2
336,1,1,1,1,4,1,1,5,1,1,1,1,1,2,1,5,1
337,1,1,1,1,5,1,1,4,1,1,1,1,2,2,1,4,2
338,1,1,1,1,5,1,1,3,2,1,1,1,1,2,1,5,2
339,1,1,1,1,6,1,1,3,1,1,1,1,1,2,2,5,2
340,1,1,1,1,3,1,1,5,2,2,2,2,1,2,2,5,2
341,1,1,1,1,7,1,1,5,3,1,1,1,1,2,1,4,2
342,1,1,1,1,6,1,1,5,1,1,1,1,1,2,2,5,2
343,1,1,1,1,7,1,1,4,1,1,2,1,1,2,1,4,2
344,1,1,1,1,7,1,1,5,1,1,1,1,1,2,2,5,2
345,1,1,1,1,7,1,1,3,2,3,2,2,1,2,2,2,2
346,1,1,1,1,7,1,1,3,1,1,2,1,1,2,2,5,2
347,1,1,1,1,4,1,1,3,1,1,1,1,1,2,2,5,2
348,1,1,1,1,5,2,3,5,1,1,3,1,2,2,1,3,2
349,1,1,1,1,5,1,1,3,2,1,3,1,1,2,1,5,2
350,1,1,1,1,5,1,1,5,3,1,3,1,1,2,2,4,1
351,1,1,1,1,7,1,1,5,1,1,1,1,1,2,2,5,2
352,1,1,1,1,6,1,1,5,1,1,2,1,1,2,2,5,1
353,1,1,5,1,6,1,1,4,1,1,2,1,1,2,2,5,2
354,1,1,1,1,4,3,3,2,3,3,1,1,1,2,1,4,2
355,1,1,1,1,4,1,1,4,3,1,1,1,1,2,2,3,2
356,1,1,1,1,7,1,1,4,1,1,1,1,1,2,1,4,2
357,1,1,3,4,4,1,1,5,1,1,3,1,1,2,2,5,1
358,1,1,1,1,6,1,1,4,1,1,1,1,1,2,2,5,2
359,1,1,1,1,5,2,3,4,1,1,3,1,1,2,1,5,2
360,1,1,1,1,4,1,1,5,1,2,2,1,1,2,2,5,2
361,1,1,3,4,3,1,1,5,2,1,3,1,1,2,1,5,2
362,1,1,1,1,2,1,1,4,1,1,2,1,1,2,1,5,2
363,1,1,1,1,4,1,1,3,1,1,2,1,1,2,2,3,2
364,1,1,1,1,6,1,1,5,1,1,2,1,1,2,2,5,2
365,1,1,1,1,6,1,1,5,2,1,1,1,1,2,2,5,2
366,1,1,1,1,6,1,1,4,1,1,1,1,1,2,2,5,2
367,1,1,1,1,3,1,1,5,1,1,2,1,1,2,2,5,2
368,1,1,1,1,7,1,1,6,1,1,1,1,1,2,1,5,2
369,1,1,1,1,4,1,1,5,1,2,1,1,1,2,1,5,8
370,1,1,1,1,7,1,1,5,2,1,1,1,1,2,2,5,2
371,1,1,2,2,3,1,1,5,1,1,2,1,1,2,1,5,2
372,1,1,4,6,6,1,1,6,1,2,1,1,1,2,1,5,2
